level,beam_id,element_tag,receiver_type,receiver_id,tributary_area_m2,total_slab_load_kN,beam_length_m,equivalent_uniform_load_kN_m,status
L3,L3_BD_V60_08,2156,BEAM,L3_BD_V60_08,12.38048,75.300553,5.0,15.060111,TRANSFERIDO
L3,,,WALL,M005..M008,20.257343,123.209209,,,WALL_EDGE_PENDING
L3,L3_BD_V60_12,2160,BEAM,L3_BD_V60_12,6.375,38.774025,5.0,7.754805,TRANSFERIDO
L4,L4_V001,2061,BEAM,L4_V001,1.793809,10.910304,1.9,5.742265,TRANSFERIDO
L4,,,WALL,M002,1.026109,6.240999,,,WALL_EDGE_PENDING
L4,L4_V30_01,2093,BEAM,L4_V30_01,3.362698,20.452602,1.85,11.05546,TRANSFERIDO
L4,L4_V40_01,2109,BEAM,L4_V40_01,3.863588,23.499116,2.44,9.630785,TRANSFERIDO
L4,,,WALL,M001,1.655824,10.07105,,,WALL_EDGE_PENDING
L4,L4_V009,2069,BEAM,L4_V009,8.883744,54.032708,4.265,12.668865,TRANSFERIDO
L4,L4_V40_02,2110,BEAM,L4_V40_02,7.555548,45.954356,4.635,9.91464,TRANSFERIDO
L4,L4_V010,2070,BEAM,L4_V010,11.418048,69.446854,4.635,14.98314,TRANSFERIDO
L4,L4_V30_03,2095,BEAM,L4_V30_03,3.362142,20.44922,1.85,11.053632,TRANSFERIDO
L4,L4_V40_03,2111,BEAM,L4_V40_03,4.751125,28.897292,2.985,9.680835,TRANSFERIDO
L4,L4_V011,2071,BEAM,L4_V011,5.768512,35.085247,2.985,11.753852,TRANSFERIDO
L4,L4_V006,2066,BEAM,L4_V006,1.713526,10.422011,1.9,5.485269,TRANSFERIDO
L4,,,WALL,M004,1.018582,6.195222,,,WALL_EDGE_PENDING
L4,L4_V40_04,2112,BEAM,L4_V40_04,3.863588,23.499116,2.44,9.630785,TRANSFERIDO
L4,,,WALL,M003,1.66335,10.116827,,,WALL_EDGE_PENDING
L4,L4_V012,2072,BEAM,L4_V012,8.961518,54.505743,4.265,12.779776,TRANSFERIDO
L4,L4_V002,2062,BEAM,L4_V002,3.527406,21.454388,3.75,5.72117,TRANSFERIDO
L4,L4_V30_02,2094,BEAM,L4_V30_02,6.978112,42.442271,3.75,11.317939,TRANSFERIDO
L4,L4_V013,2073,BEAM,L4_V013,10.79045,65.629675,4.265,15.387966,TRANSFERIDO
L4,L4_V004,2064,BEAM,L4_V004,6.921655,42.098889,3.75,11.22637,TRANSFERIDO
L4,L4_V014,2074,BEAM,L4_V014,12.031065,73.175341,4.635,15.78756,TRANSFERIDO
L4,L4_V30_04,2096,BEAM,L4_V30_04,6.907471,42.012618,3.75,11.203365,TRANSFERIDO
L4,L4_V015,2075,BEAM,L4_V015,6.11925,37.218502,2.985,12.46851,TRANSFERIDO
L4,L4_V007,2067,BEAM,L4_V007,3.434579,20.889799,3.75,5.570613,TRANSFERIDO
L4,L4_V016,2076,BEAM,L4_V016,10.848153,65.980636,4.265,15.470255,TRANSFERIDO
L4,L4_V003,2063,BEAM,L4_V003,3.532424,21.484906,3.75,5.729308,TRANSFERIDO
L4,L4_V017,2077,BEAM,L4_V017,13.564047,82.499247,4.265,19.343317,TRANSFERIDO
L4,L4_V005,2065,BEAM,L4_V005,7.043542,42.840233,3.75,11.424062,TRANSFERIDO
L4,L4_V018,2078,BEAM,L4_V018,15.260419,92.816923,4.635,20.025226,TRANSFERIDO
L4,L4_V019,2079,BEAM,L4_V019,8.140762,49.513746,2.985,16.587519,TRANSFERIDO
L4,L4_V008,2068,BEAM,L4_V008,3.434579,20.889799,3.75,5.570613,TRANSFERIDO
L4,L4_V020,2080,BEAM,L4_V020,13.656874,83.063836,4.265,19.475694,TRANSFERIDO
L4,L4_BD_V60_01,2167,BEAM,L4_BD_V60_01,6.25,38.01375,5.0,7.60275,TRANSFERIDO
L4,L4_BD_V60_05,2171,BEAM,L4_BD_V60_05,12.5,76.0275,5.0,15.2055,TRANSFERIDO
L4,L4_BD_V60_13,2179,BEAM,L4_BD_V60_13,32.0075,194.676016,8.9,21.87371,TRANSFERIDO
L4,L4_BD_V60_09,2175,BEAM,L4_BD_V60_09,6.375,38.774025,5.0,7.754805,TRANSFERIDO
L4,L4_BD_V60_14,2180,BEAM,L4_BD_V60_14,23.75,144.45225,7.25,19.924448,TRANSFERIDO
L4,L4_BD_V60_02,2168,BEAM,L4_BD_V60_02,6.2425,37.968134,5.0,7.593627,TRANSFERIDO
L4,L4_BD_V60_06,2172,BEAM,L4_BD_V60_06,12.375,75.267225,5.0,15.053445,TRANSFERIDO
L4,L4_BD_V60_15,2181,BEAM,L4_BD_V60_15,32.0075,194.676016,8.9,21.87371,TRANSFERIDO
L4,L4_BD_V60_10,2176,BEAM,L4_BD_V60_10,6.375,38.774025,5.0,7.754805,TRANSFERIDO
L4,L4_BD_V60_16,2182,BEAM,L4_BD_V60_16,23.75,144.45225,7.25,19.924448,TRANSFERIDO
L4,L4_BD_V60_03,2169,BEAM,L4_BD_V60_03,6.2425,37.968134,5.0,7.593627,TRANSFERIDO
L4,L4_BD_V60_07,2173,BEAM,L4_BD_V60_07,12.375,75.267225,5.0,15.053445,TRANSFERIDO
L4,L4_BD_V60_17,2183,BEAM,L4_BD_V60_17,30.31493,184.381466,8.9,20.717019,TRANSFERIDO
L4,L4_BD_V60_11,2177,BEAM,L4_BD_V60_11,6.375,38.774025,5.0,7.754805,TRANSFERIDO
L4,L4_BD_V60_18,2184,BEAM,L4_BD_V60_18,23.75,144.45225,7.25,19.924448,TRANSFERIDO
L4,L4_BD_V60_04,2170,BEAM,L4_BD_V60_04,6.247973,38.001421,5.0,7.600284,TRANSFERIDO
L4,L4_BD_V60_08,2174,BEAM,L4_BD_V60_08,12.38048,75.300553,5.0,15.060111,TRANSFERIDO
L4,,,WALL,M005..M008,20.257343,123.209209,,,WALL_EDGE_PENDING
L4,L4_BD_V60_12,2178,BEAM,L4_BD_V60_12,6.375,38.774025,5.0,7.754805,TRANSFERIDO
